name,number,game_id,place,date
"Квиз, плиз! ",#863,61480,Chesterfield Bar,"8 августа, Вторник"
[сериалы] ,#7,61286,Chesterfield Bar,"7 августа, Понедельник"
"Квиз, плиз! ",#863,61466,Резиденция,"7 августа, Понедельник"
Дисней [стрим] ,#1,61539,"Везде, где есть интернет","6 августа, Воскресенье"
"Квиз, плиз! ",#862,61077,Chesterfield Bar,"6 августа, Воскресенье"
[назад в 2000-е] ,#4,61030,Резиденция,"6 августа, Воскресенье"
[кино и музыка] ,#138,61076,Chesterfield Bar,"6 августа, Воскресенье"
"Квиз, плиз! ",#862,61075,Chesterfield Bar,"5 августа, Суббота"
"Квиз, плиз! [стрим] ",#355,61465,"Везде, где есть интернет","5 августа, Суббота"
"Квиз, плиз! ",#861,61079,"Дорогая, я перезвоню","5 августа, Суббота"
"Квиз, плиз! [зумеры vs бумеры] ",#2,61029,Резиденция,"5 августа, Суббота"
[18+] ,#7,61074,Chesterfield Bar,"5 августа, Суббота"
[кино и музыка] ,#138,61082,CLUB LIBERTY BAR,"4 августа, Пятница"
"Квиз, плиз! ",#861,61028,Резиденция,"4 августа, Пятница"
"Квиз, плиз! ",#862,61073,Chesterfield Bar,"4 августа, Пятница"
"Квиз, плиз! [стрим] ",#354,61464,"Везде, где есть интернет","4 августа, Пятница"
"Квиз, плиз! ",#861,61081,Papa' S Bar & Grill,"4 августа, Пятница"
[18+] ,#7,61084,MT Music Bar,"3 августа, Четверг"
[кино и музыка] ,#138,61026,Резиденция,"3 августа, Четверг"
[про историю] ,#3,61080,"Дорогая, я перезвоню","3 августа, Четверг"
"Квиз, плиз! ",#861,61072,Chesterfield Bar,"3 августа, Четверг"
"Квиз, плиз! ",#861,61083,CLUB LIBERTY BAR,"3 августа, Четверг"
"Квиз, плиз! ",#860,61071,Chesterfield Bar,"2 августа, Среда"
"Квиз, плиз! [зумеры vs бумеры] ",#2,61078,Old School Pub,"2 августа, Среда"
Кино и музыка [новички] ,#137,61025,Резиденция,"2 августа, Среда"
[новички] ,#860,61023,Резиденция,"1 августа, Вторник"
"Квиз, плиз! ",#860,61022,Chesterfield Bar,"1 августа, Вторник"
[про историю] ,#3,60842,Резиденция,"31 июля, Понедельник"
"Квиз, плиз! ",#860,61017,Chesterfield Bar,"31 июля, Понедельник"
"Квиз, плиз! ",#859,60694,Chesterfield Bar,"30 июля, Воскресенье"
